GND-ID,Wikidata-Entity,mentioned in
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta010.pta-grc1:g11
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta010.pta-grc1:g14
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta010.pta-grc1:g17
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta010.pta-grc1:g19
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta010.pta-grc1:g20
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta014.pta-grc1:g1
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta014.pta-grc1:g2
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta014.pta-grc1:g6
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta015.pta-grc1:g2
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta015.pta-grc1:g3
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta015.pta-grc1:g5
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta015.pta-grc1:g7
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta015.pta-grc1:g12
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta016.pta-grc1:g1
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta017.pta-grc1:g1
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta017.pta-grc1:g2
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta017.pta-grc1:g4
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta017.pta-grc1:g5
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta017.pta-grc1:g6
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta017.pta-grc1:g7
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta017.pta-grc1:g8
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta017.pta-grc1:g9
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta017.pta-grc1:g10
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta017.pta-grc1:g11
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta017.pta-grc1:g12
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta017.pta-grc1:g13
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta017.pta-grc1:g14
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta017.pta-grc1:g15
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta017.pta-grc1:g17
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0036.pta001.pta-grc1:g110
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0036.pta001.pta-grc1:g133
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0036.pta001.pta-grc1:g134
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0036.pta001.pta-grc1:g179
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0036.pta001.pta-grc1:g180
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0036.pta001.pta-grc1:g184
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0036.pta001.pta-grc1:g194
,Q83922,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0100.pta007.pta-grc1:g1
,Q398180,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta003.pta-grc1:g11
,Q398180,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta004.pta-grc1:g6
,Q398180,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta004.pta-grc1:g7
,Q398180,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta004.pta-grc1:g9
,Q398180,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta004.pta-grc1:g10
,Q398180,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta004.pta-grc1:g14
,Q398180,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta004.pta-grc1:g15
,Q398180,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0013.pta003.pta-grc1:g5
,Q1293300,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0003.pta009.pta-grc1:g18
,Q1293300,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0003.pta009.pta-grc1:g32
,Q1293300,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta003.pta-grc1:g31
,Q1293300,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta003.pta-grc1:g32
,Q1293300,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta004.pta-grc1:g13
,Q1293300,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta004.pta-grc1:g14
,Q1293300,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0022.pta004.pta-grc1:g21
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta001.pta-grcBibex:g1
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta001.pta-grcBibex:g5
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta001.pta-grcBibex:g6
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta001.pta-grcBibex:g7
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta001.pta-grcBibex:g8
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta001.pta-grcBibex:g9
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta001.pta-grcBibex:g10
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta001.pta-grcBibex:g11
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta001.pta-grcBibex:g12
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta001.pta-grcBibex:g13
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta001.pta-grcBibex:g14
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta001.pta-grcBibex:g15
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta001.pta-grcBibex:g16
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta031.pta-grc1:g12
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta034.pta-grc1:g19
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta034.pta-grc1:g40
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta037.pta-grc1:g40
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta041.pta-grc1:g7
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta041.pta-grc1:g8
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta041.pta-grc1:g11
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta041.pta-grc1:g18
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta042.pta-grc1:g2
4002455-6,Q43412,https://pta.bbaw.de/text/d911a26f/urn:cts:pta:pta0001.pta042.pta-grc1:g24
