Edition,Reference,Reference in Index
LXX,2Mak:6:24-2Mak:6:28,https://pta.bbaw.de/biblical-reference/2Mak:6:24-2Mak:6:28
LXX,2Mak:6:30,https://pta.bbaw.de/biblical-reference/2Mak:6:30
LXX,2Mak:6:31,https://pta.bbaw.de/biblical-reference/2Mak:6:31
LXX,2Mak:7:1,https://pta.bbaw.de/biblical-reference/2Mak:7:1
LXX,2Mak:7:10,https://pta.bbaw.de/biblical-reference/2Mak:7:10
LXX,2Mak:7:14,https://pta.bbaw.de/biblical-reference/2Mak:7:14
LXX,2Mak:7:16,https://pta.bbaw.de/biblical-reference/2Mak:7:16
LXX,2Mak:7:17,https://pta.bbaw.de/biblical-reference/2Mak:7:17
LXX,2Mak:7:18,https://pta.bbaw.de/biblical-reference/2Mak:7:18
LXX,2Mak:7:19,https://pta.bbaw.de/biblical-reference/2Mak:7:19
LXX,2Mak:7:2,https://pta.bbaw.de/biblical-reference/2Mak:7:2
LXX,2Mak:7:20,https://pta.bbaw.de/biblical-reference/2Mak:7:20
LXX,2Mak:7:24,https://pta.bbaw.de/biblical-reference/2Mak:7:24
LXX,2Mak:7:25,https://pta.bbaw.de/biblical-reference/2Mak:7:25
LXX,2Mak:7:35,https://pta.bbaw.de/biblical-reference/2Mak:7:35
LXX,2Mak:7:4,https://pta.bbaw.de/biblical-reference/2Mak:7:4
LXX,2Mak:7:5,https://pta.bbaw.de/biblical-reference/2Mak:7:5
LXX,2Mak:7:6,https://pta.bbaw.de/biblical-reference/2Mak:7:6
LXX,2Mak:7:7,https://pta.bbaw.de/biblical-reference/2Mak:7:7
LXX,2Mak:7:8,https://pta.bbaw.de/biblical-reference/2Mak:7:8
LXX,2Mak:7:9,https://pta.bbaw.de/biblical-reference/2Mak:7:9
LXX,2Sa:12:13,https://pta.bbaw.de/biblical-reference/2Sa:12:13
LXX,2Sa:23:31,https://pta.bbaw.de/biblical-reference/2Sa:23:31
LXX,2Sa:3:27,https://pta.bbaw.de/biblical-reference/2Sa:3:27
LXX,2Sa:5:14,https://pta.bbaw.de/biblical-reference/2Sa:5:14
LXX,3Esr:4:40,https://pta.bbaw.de/biblical-reference/3Esr:4:40
LXX,3Esr:4:41,https://pta.bbaw.de/biblical-reference/3Esr:4:41
LXX,3Esr:5:46-3Esr:5:48,https://pta.bbaw.de/biblical-reference/3Esr:5:46-3Esr:5:48
LXX,Am:1:12,https://pta.bbaw.de/biblical-reference/Am:1:12
LXX,Am:2:6,https://pta.bbaw.de/biblical-reference/Am:2:6
LXX,Am:2:7,https://pta.bbaw.de/biblical-reference/Am:2:7
LXX,Am:3:8,https://pta.bbaw.de/biblical-reference/Am:3:8
LXX,Am:4:2,https://pta.bbaw.de/biblical-reference/Am:4:2
LXX,Am:4:7,https://pta.bbaw.de/biblical-reference/Am:4:7
LXX,Am:5:11,https://pta.bbaw.de/biblical-reference/Am:5:11
LXX,Am:5:18,https://pta.bbaw.de/biblical-reference/Am:5:18
LXX,Am:5:23,https://pta.bbaw.de/biblical-reference/Am:5:23
LXX,Am:5:8,https://pta.bbaw.de/biblical-reference/Am:5:8
LXX,Am:7:12,https://pta.bbaw.de/biblical-reference/Am:7:12
LXX,Am:7:4,https://pta.bbaw.de/biblical-reference/Am:7:4
LXX,Am:7:5,https://pta.bbaw.de/biblical-reference/Am:7:5
LXX,Am:8:1,https://pta.bbaw.de/biblical-reference/Am:8:1
LXX,Am:8:11,https://pta.bbaw.de/biblical-reference/Am:8:11
LXX,Am:9:3,https://pta.bbaw.de/biblical-reference/Am:9:3
LXX,Bar:3:12,https://pta.bbaw.de/biblical-reference/Bar:3:12
LXX,Bar:3:3,https://pta.bbaw.de/biblical-reference/Bar:3:3
LXX,Bar:3:32-Bar:3:35,https://pta.bbaw.de/biblical-reference/Bar:3:32-Bar:3:35
LXX,Bar:3:33,https://pta.bbaw.de/biblical-reference/Bar:3:33
LXX,Bar:3:34,https://pta.bbaw.de/biblical-reference/Bar:3:34
LXX,Bar:3:35,https://pta.bbaw.de/biblical-reference/Bar:3:35
LXX,Bar:3:36,https://pta.bbaw.de/biblical-reference/Bar:3:36
LXX,Bar:3:36-Bar:3:38,https://pta.bbaw.de/biblical-reference/Bar:3:36-Bar:3:38
LXX,Bar:3:38,https://pta.bbaw.de/biblical-reference/Bar:3:38
LXX,Bar:4:30,https://pta.bbaw.de/biblical-reference/Bar:4:30
LXX,Dn:10:11-Dn:10:13,https://pta.bbaw.de/biblical-reference/Dn:10:11-Dn:10:13
LXX,Dn:10:16,https://pta.bbaw.de/biblical-reference/Dn:10:16
LXX,Dn:11:30,https://pta.bbaw.de/biblical-reference/Dn:11:30
LXX,Dn:12:9,https://pta.bbaw.de/biblical-reference/Dn:12:9
LXX,Dn:1:1,https://pta.bbaw.de/biblical-reference/Dn:1:1
LXX,Dn:1:10,https://pta.bbaw.de/biblical-reference/Dn:1:10
LXX,Dn:1:12,https://pta.bbaw.de/biblical-reference/Dn:1:12
LXX,Dn:1:12-Dn:1:13,https://pta.bbaw.de/biblical-reference/Dn:1:12-Dn:1:13
LXX,Dn:1:14-Dn:1:15,https://pta.bbaw.de/biblical-reference/Dn:1:14-Dn:1:15
LXX,Dn:1:16,https://pta.bbaw.de/biblical-reference/Dn:1:16
LXX,Dn:1:17,https://pta.bbaw.de/biblical-reference/Dn:1:17
LXX,Dn:1:18-Dn:1:20,https://pta.bbaw.de/biblical-reference/Dn:1:18-Dn:1:20
LXX,Dn:1:2,https://pta.bbaw.de/biblical-reference/Dn:1:2
LXX,Dn:1:21,https://pta.bbaw.de/biblical-reference/Dn:1:21
LXX,Dn:1:3-Dn:1:4,https://pta.bbaw.de/biblical-reference/Dn:1:3-Dn:1:4
LXX,Dn:1:5-Dn:1:6,https://pta.bbaw.de/biblical-reference/Dn:1:5-Dn:1:6
LXX,Dn:1:7,https://pta.bbaw.de/biblical-reference/Dn:1:7
LXX,Dn:1:8,https://pta.bbaw.de/biblical-reference/Dn:1:8
LXX,Dn:1:9,https://pta.bbaw.de/biblical-reference/Dn:1:9
LXX,Dn:2:1,https://pta.bbaw.de/biblical-reference/Dn:2:1
LXX,Dn:2:1-Dn:2:2,https://pta.bbaw.de/biblical-reference/Dn:2:1-Dn:2:2
LXX,Dn:2:10-Dn:2:11,https://pta.bbaw.de/biblical-reference/Dn:2:10-Dn:2:11
LXX,Dn:2:12-Dn:2:13,https://pta.bbaw.de/biblical-reference/Dn:2:12-Dn:2:13
LXX,Dn:2:15,https://pta.bbaw.de/biblical-reference/Dn:2:15
LXX,Dn:2:17-Dn:2:18,https://pta.bbaw.de/biblical-reference/Dn:2:17-Dn:2:18
LXX,Dn:2:19-Dn:2:22,https://pta.bbaw.de/biblical-reference/Dn:2:19-Dn:2:22
LXX,Dn:2:23,https://pta.bbaw.de/biblical-reference/Dn:2:23
LXX,Dn:2:24,https://pta.bbaw.de/biblical-reference/Dn:2:24
LXX,Dn:2:25,https://pta.bbaw.de/biblical-reference/Dn:2:25
LXX,Dn:2:26,https://pta.bbaw.de/biblical-reference/Dn:2:26
LXX,Dn:2:27-Dn:2:28,https://pta.bbaw.de/biblical-reference/Dn:2:27-Dn:2:28
LXX,Dn:2:28,https://pta.bbaw.de/biblical-reference/Dn:2:28
LXX,Dn:2:29,https://pta.bbaw.de/biblical-reference/Dn:2:29
LXX,Dn:2:30,https://pta.bbaw.de/biblical-reference/Dn:2:30
LXX,Dn:2:31-Dn:2:33,https://pta.bbaw.de/biblical-reference/Dn:2:31-Dn:2:33
LXX,Dn:2:34-Dn:2:35,https://pta.bbaw.de/biblical-reference/Dn:2:34-Dn:2:35
LXX,Dn:2:36-Dn:2:37,https://pta.bbaw.de/biblical-reference/Dn:2:36-Dn:2:37
LXX,Dn:2:37,https://pta.bbaw.de/biblical-reference/Dn:2:37
LXX,Dn:2:38,https://pta.bbaw.de/biblical-reference/Dn:2:38
LXX,Dn:2:39,https://pta.bbaw.de/biblical-reference/Dn:2:39
LXX,Dn:2:40,https://pta.bbaw.de/biblical-reference/Dn:2:40
LXX,Dn:2:41,https://pta.bbaw.de/biblical-reference/Dn:2:41
LXX,Dn:2:41-Dn:2:42,https://pta.bbaw.de/biblical-reference/Dn:2:41-Dn:2:42
LXX,Dn:2:42,https://pta.bbaw.de/biblical-reference/Dn:2:42
LXX,Dn:2:43,https://pta.bbaw.de/biblical-reference/Dn:2:43
LXX,Dn:2:44,https://pta.bbaw.de/biblical-reference/Dn:2:44
LXX,Dn:2:44-Dn:2:45,https://pta.bbaw.de/biblical-reference/Dn:2:44-Dn:2:45
LXX,Dn:2:45,https://pta.bbaw.de/biblical-reference/Dn:2:45
LXX,Dn:2:46,https://pta.bbaw.de/biblical-reference/Dn:2:46
LXX,Dn:2:47,https://pta.bbaw.de/biblical-reference/Dn:2:47
LXX,Dn:2:48,https://pta.bbaw.de/biblical-reference/Dn:2:48
LXX,Dn:2:49,https://pta.bbaw.de/biblical-reference/Dn:2:49
LXX,Dn:2:5-Dn:2:6,https://pta.bbaw.de/biblical-reference/Dn:2:5-Dn:2:6
LXX,Dn:2:8-Dn:2:9,https://pta.bbaw.de/biblical-reference/Dn:2:8-Dn:2:9
LXX,Dn:3:1,https://pta.bbaw.de/biblical-reference/Dn:3:1
LXX,Dn:3:12,https://pta.bbaw.de/biblical-reference/Dn:3:12
LXX,Dn:3:13-Dn:3:21,https://pta.bbaw.de/biblical-reference/Dn:3:13-Dn:3:21
LXX,Dn:3:14,https://pta.bbaw.de/biblical-reference/Dn:3:14
LXX,Dn:3:15,https://pta.bbaw.de/biblical-reference/Dn:3:15
LXX,Dn:3:16,https://pta.bbaw.de/biblical-reference/Dn:3:16
LXX,Dn:3:17,https://pta.bbaw.de/biblical-reference/Dn:3:17
LXX,Dn:3:17-Dn:3:18,https://pta.bbaw.de/biblical-reference/Dn:3:17-Dn:3:18
LXX,Dn:3:18,https://pta.bbaw.de/biblical-reference/Dn:3:18
LXX,Dn:3:19,https://pta.bbaw.de/biblical-reference/Dn:3:19
LXX,Dn:3:2,https://pta.bbaw.de/biblical-reference/Dn:3:2
LXX,Dn:3:2-Dn:3:4,https://pta.bbaw.de/biblical-reference/Dn:3:2-Dn:3:4
LXX,Dn:3:21,https://pta.bbaw.de/biblical-reference/Dn:3:21
LXX,Dn:3:23,https://pta.bbaw.de/biblical-reference/Dn:3:23
LXX,Dn:3:50,https://pta.bbaw.de/biblical-reference/Dn:3:23
LXX,Dn:3:23,https://pta.bbaw.de/biblical-reference/Dn:3:50
LXX,Dn:3:50,https://pta.bbaw.de/biblical-reference/Dn:3:50
LXX,Dn:3:24,https://pta.bbaw.de/biblical-reference/Dn:3:24
LXX,Dn:3:26,https://pta.bbaw.de/biblical-reference/Dn:3:26
LXX,Dn:3:27,https://pta.bbaw.de/biblical-reference/Dn:3:27
LXX,Dn:3:27-Dn:3:28,https://pta.bbaw.de/biblical-reference/Dn:3:27-Dn:3:28
LXX,Dn:3:28-Dn:3:29,https://pta.bbaw.de/biblical-reference/Dn:3:28-Dn:3:29
LXX,Dn:3:29,https://pta.bbaw.de/biblical-reference/Dn:3:29
LXX,Dn:3:29-Dn:3:30,https://pta.bbaw.de/biblical-reference/Dn:3:29-Dn:3:30
LXX,Dn:3:31,https://pta.bbaw.de/biblical-reference/Dn:3:31
LXX,Dn:3:31,https://pta.bbaw.de/biblical-reference/Dn:3:31
LXX,Dn:3:30,https://pta.bbaw.de/biblical-reference/Dn:3:31
LXX,Dn:3:31,https://pta.bbaw.de/biblical-reference/Dn:3:30
LXX,Dn:3:30,https://pta.bbaw.de/biblical-reference/Dn:3:30
LXX,Dn:3:32,https://pta.bbaw.de/biblical-reference/Dn:3:32
LXX,Dn:3:33,https://pta.bbaw.de/biblical-reference/Dn:3:33
LXX,Dn:3:34,https://pta.bbaw.de/biblical-reference/Dn:3:34
LXX,Dn:3:35-Dn:3:36,https://pta.bbaw.de/biblical-reference/Dn:3:35-Dn:3:36
LXX,Dn:3:37,https://pta.bbaw.de/biblical-reference/Dn:3:37
LXX,Dn:3:38,https://pta.bbaw.de/biblical-reference/Dn:3:38
LXX,Dn:3:39,https://pta.bbaw.de/biblical-reference/Dn:3:39
LXX,Dn:3:39-Dn:3:40,https://pta.bbaw.de/biblical-reference/Dn:3:39-Dn:3:40
LXX,Dn:3:4-Dn:3:6,https://pta.bbaw.de/biblical-reference/Dn:3:4-Dn:3:6
LXX,Dn:3:41,https://pta.bbaw.de/biblical-reference/Dn:3:41
LXX,Dn:3:42-Dn:3:43,https://pta.bbaw.de/biblical-reference/Dn:3:42-Dn:3:43
LXX,Dn:3:43-Dn:3:45,https://pta.bbaw.de/biblical-reference/Dn:3:43-Dn:3:45
LXX,Dn:3:5,https://pta.bbaw.de/biblical-reference/Dn:3:5
LXX,Dn:3:50,https://pta.bbaw.de/biblical-reference/Dn:3:50
LXX,Dn:3:51,https://pta.bbaw.de/biblical-reference/Dn:3:51
LXX,Dn:3:52,https://pta.bbaw.de/biblical-reference/Dn:3:52
LXX,Dn:3:53,https://pta.bbaw.de/biblical-reference/Dn:3:53
LXX,Dn:3:54,https://pta.bbaw.de/biblical-reference/Dn:3:54
LXX,Dn:3:55,https://pta.bbaw.de/biblical-reference/Dn:3:55
LXX,Dn:3:56,https://pta.bbaw.de/biblical-reference/Dn:3:56
LXX,Dn:3:57,https://pta.bbaw.de/biblical-reference/Dn:3:57
LXX,Dn:3:58,https://pta.bbaw.de/biblical-reference/Dn:3:58
LXX,Dn:3:62-Dn:3:63,https://pta.bbaw.de/biblical-reference/Dn:3:62-Dn:3:63
LXX,Dn:3:64,https://pta.bbaw.de/biblical-reference/Dn:3:64
LXX,Dn:3:64-Dn:3:65,https://pta.bbaw.de/biblical-reference/Dn:3:64-Dn:3:65
LXX,Dn:3:66,https://pta.bbaw.de/biblical-reference/Dn:3:66
LXX,Dn:3:7,https://pta.bbaw.de/biblical-reference/Dn:3:7
