Quotation-URL,Edition,Reference
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0004.pta001.pta-grcBibex:b126,LXX,2Ko:19:35-2Ko:19:37
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta007.pta-grc1:b53,LXX,2Ko:21:13
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta011.pta-grc1:b174,LXX,2Ko:23:2
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta036.pta-grc1:b28,LXX,2Ko:2:11
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta036.pta-grc1:b35,LXX,2Ko:2:11
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta053.pta-grc1:b17,LXX,2Ko:2:11
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta013.pta-grc1:b29,LXX,2Ko:2:11
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta019.pta-grc1:b8,LXX,2Ko:2:12
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta016.pta-grc1:b73,LXX,2Ko:2:12-2Ko:2:16
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0022.pta013.pta-grc1:b30,LXX,2Ko:2:9
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta008.pta-grc1:b48,LXX,2Ko:3:15
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta008.pta-grc1:b49,LXX,2Ko:3:15
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta008.pta-grc1:b81,LXX,2Ko:6:16
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta012.pta-grc1:b51,LXX,2Ko:6:5-2Ko:6:7
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta014.pta-grc1:b162,LXX,2Ko:9:11
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta014.pta-grc1:b163,LXX,2Ko:9:11
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta014.pta-grc1:b164,LXX,2Ko:9:11
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta014.pta-grc1:b165,LXX,2Ko:9:11
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta014.pta-grc1:b166,LXX,2Ko:9:11
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0007.pta007.pta-grc1:b151,LXX,2Mak:6:19
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0007.pta007.pta-grc1:b152,LXX,2Mak:6:23
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0007.pta007.pta-grc1:b153,LXX,2Mak:6:24-2Mak:6:28
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0007.pta007.pta-grc1:b154,LXX,2Mak:6:30
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0007.pta007.pta-grc1:b155,LXX,2Mak:6:31
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0007.pta007.pta-grc1:b156,LXX,2Mak:7:1
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0007.pta007.pta-grc1:b172,LXX,2Mak:7:10
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0007.pta007.pta-grc1:b173,LXX,2Mak:7:14
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0007.pta007.pta-grc1:b174,LXX,2Mak:7:14
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0007.pta007.pta-grc1:b175,LXX,2Mak:7:16
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0007.pta007.pta-grc1:b176,LXX,2Mak:7:17
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0007.pta007.pta-grc1:b177,LXX,2Mak:7:18
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0007.pta007.pta-grc1:b178,LXX,2Mak:7:19
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0007.pta007.pta-grc1:b179,LXX,2Mak:7:19
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0007.pta007.pta-grc1:b157,LXX,2Mak:7:2
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0007.pta007.pta-grc1:b158,LXX,2Mak:7:2
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0007.pta007.pta-grc1:b159,LXX,2Mak:7:2
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0007.pta007.pta-grc1:b183,LXX,2Mak:7:20
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0007.pta007.pta-grc1:b180,LXX,2Mak:7:24
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0007.pta007.pta-grc1:b181,LXX,2Mak:7:25
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0007.pta007.pta-grc1:b182,LXX,2Mak:7:35
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0007.pta007.pta-grc1:b160,LXX,2Mak:7:4
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0007.pta007.pta-grc1:b161,LXX,2Mak:7:5
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0007.pta007.pta-grc1:b162,LXX,2Mak:7:5
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0007.pta007.pta-grc1:b163,LXX,2Mak:7:5
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0007.pta007.pta-grc1:b164,LXX,2Mak:7:5
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0007.pta007.pta-grc1:b165,LXX,2Mak:7:5
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0007.pta007.pta-grc1:b166,LXX,2Mak:7:6
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0007.pta007.pta-grc1:b167,LXX,2Mak:7:7
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0007.pta007.pta-grc1:b168,LXX,2Mak:7:7
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0007.pta007.pta-grc1:b169,LXX,2Mak:7:7
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0007.pta007.pta-grc1:b170,LXX,2Mak:7:8
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0007.pta007.pta-grc1:b171,LXX,2Mak:7:9
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta002.pta-grc1:b45,LXX,2Sa:12:13
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta002.pta-grc1:b46,LXX,2Sa:12:13
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta002.pta-grc1:b47,LXX,2Sa:12:13
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta058.pta-grc1:b21,LXX,2Sa:23:31
https://pta.bbaw.de/text/a24c583/urn:cts:pta:pta0001.pta021.pta-grc1:b19,LXX,2Sa:3:27
